Tube_ID,Probability_P,Predicted_Wall_Loss_mm
2000,0.9995002498750625,0.7280913746593006
1999,0.999000499750125,0.6797303861205259
1998,0.9985007496251874,0.6514337764539797
1997,0.9980009995002498,0.6313519373318114
1996,0.9975012493753123,0.6157713300823541
1995,0.9970014992503747,0.6030378455501084
1994,0.9965017491254372,0.5922691315347224
1993,0.9960019990004997,0.5829385024015202
1992,0.9955022488755622,0.5747062351146927
1991,0.9950024987506246,0.5673403691681893
1990,0.9945027486256871,0.5606754565721973
1989,0.9940029985007496,0.5545893366482998
1988,0.993503248375812,0.5489892392290021
1987,0.9930034982508745,0.543803052595039
1986,0.992503748125937,0.5389736113069318
1985,0.9920039980009995,0.5344548313271315
1984,0.991504247876062,0.530209018892001
1983,0.9910044977511244,0.5262049497620267
1982,0.9905047476261869,0.5224164684809696
1981,0.9900049975012494,0.5188214473467934
1980,0.9895052473763118,0.5154009996394154
1979,0.9890054972513743,0.5121388760445956
1978,0.9885057471264368,0.5090209953560167
1977,0.9880059970014992,0.5060350751298514
1976,0.9875062468765616,0.503170337786313
1975,0.9870064967516241,0.5004172743877601
1974,0.9865067466266866,0.49776745302219816
1973,0.9860069965017491,0.4952133620516054
1972,0.9855072463768115,0.4927482808791904
1971,0.985007496251874,0.49036617263431437
1970,0.9845077461269365,0.4880615944603862
1969,0.984007996001999,0.4858296220506
1968,0.9835082458770614,0.4836657857995298
1967,0.9830084957521239,0.48156601648894237
1966,0.9825087456271864,0.47952659884880555
1965,0.9820089955022488,0.4775441316617993
1964,0.9815092453773113,0.47561549333517006
1963,0.9810094952523738,0.4737378120647574
1962,0.9805097451274363,0.47190843987522435
1961,0.9800099950024987,0.4701249299474597
1960,0.9795102448775612,0.468385016745979
1959,0.9790104947526237,0.4666865985413554
1958,0.9785107446276862,0.46502772198944087
1957,0.9780109945027486,0.46340656848358874
1956,0.977511244377811,0.4618214420407444
1955,0.9770114942528735,0.46027075851907817
1954,0.976511744127936,0.4587530359952926
1953,0.9760119940029984,0.4572668861550847
1952,0.9755122438780609,0.4558110065713882
1951,0.9750124937531234,0.4543841737627581
1950,0.9745127436281859,0.45298523693918713
1949,0.9740129935032483,0.4516131123552445
1948,0.9735132433783108,0.4502667782011128
1947,0.9730134932533733,0.4489452699711869
1946,0.9725137431284357,0.447647676257646
1945,0.9720139930034982,0.44637313492304864
1944,0.9715142428785607,0.44512082961169075
1943,0.9710144927536232,0.4438899865643724
1942,0.9705147426286856,0.4426798717054484
1941,0.9700149925037481,0.44148978797470023
1940,0.9695152423788106,0.44031907287974603
1939,0.9690154922538731,0.4391670962474694
1938,0.9685157421289355,0.43803325815535776
1937,0.968015992003998,0.43691698702574805
1936,0.9675162418790604,0.43581773786782413
1935,0.9670164917541229,0.43473499065383014
1934,0.9665167416291853,0.4336682488173851
1933,0.9660169915042478,0.43261703786304806
1932,0.9655172413793103,0.4315809040773857
1931,0.9650174912543728,0.43055941333277853
1930,0.9645177411294352,0.42955214997607233
1929,0.9640179910044977,0.4285587157949547
1928,0.9635182408795602,0.4275787290556221
1927,0.9630184907546226,0.4266118236059193
1926,0.9625187406296851,0.4256576480386748
1925,0.9620189905047476,0.4247158649104509
1924,0.9615192403798101,0.42378615001136
1923,0.9610194902548725,0.4228681916819929
1922,0.960519740129935,0.42196169017385954
1921,0.9600199900049975,0.42106635705005596
1920,0.95952023988006,0.4201819146231608
1919,0.9590204897551224,0.4193080954276182
1918,0.9585207396301849,0.41844464172410123
1917,0.9580209895052474,0.417591305033555
1916,0.9575212393803099,0.41674784569881473
1915,0.9570214892553722,0.4159140324718599
1914,0.9565217391304347,0.41508964212493094
1913,0.9560219890054972,0.4142744590838664
1912,0.9555222388805596,0.41346827508215905
1911,0.9550224887556221,0.41267088883433856
1910,0.9545227386306846,0.41188210572740114
1909,0.9540229885057471,0.41110173752910145
1908,0.9535232383808095,0.41032960211201375
1907,0.953023488255872,0.40956552319234985
1906,0.9525237381309345,0.40880933008259734
1905,0.952023988005997,0.40806085745710896
1904,0.9515242378810594,0.4073199451298385
1903,0.9510244877561219,0.40658643784347565
1902,0.9505247376311844,0.40586018506928473
1901,0.9500249875062469,0.405141040817003
1900,0.9495252373813093,0.4044288634541965
1899,0.9490254872563718,0.4037235155345156
1898,0.9485257371314343,0.40302486363432866
1897,0.9480259870064968,0.4023327781972476
1896,0.9475262368815592,0.40164713338609387
1895,0.9470264867566216,0.40096780694187917
1894,0.9465267366316841,0.400294680049409
1893,0.9460269865067465,0.39962763720913497
1892,0.945527236381809,0.3989665661149151
1891,0.9450274862568715,0.3983113575373548
1890,0.944527736131934,0.3976619052124273
1889,0.9440279860069964,0.39701810573508833
1888,0.9435282358820589,0.39637985845762
1887,0.9430284857571214,0.3957470653924524
1886,0.9425287356321839,0.3951196311192294
1885,0.9420289855072463,0.39449746269589725
1884,0.9415292353823088,0.3938804695736102
1883,0.9410294852573713,0.39326856351525596
1882,0.9405297351324338,0.3926616585174203
1881,0.9400299850074962,0.39205967073561604
1880,0.9395302348825587,0.3914625184126148
1879,0.9390304847576212,0.3908701218097287
1878,0.9385307346326837,0.390282403140896
1877,0.9380309845077461,0.38969928650943675
1876,0.9375312343828086,0.3891206978473468
1875,0.9370314842578711,0.3885465648570122
1874,0.9365317341329334,0.3879768169552259
1873,0.9360319840079959,0.38741138521940144
1872,0.9355322338830584,0.38685020233587797
1871,0.9350324837581209,0.3862932025502225
1870,0.9345327336331833,0.38574032161943567
1869,0.9340329835082458,0.3851914967659755
1868,0.9335332333833083,0.3846466666335153
1867,0.9330334832583708,0.3841057712443592
1866,0.9325337331334332,0.38356875195844065
1865,0.9320339830084957,0.38303555143383394
1864,0.9315342328835582,0.3825061135887122
1863,0.9310344827586207,0.3819803835646888
1862,0.9305347326336831,0.38145830769148203
1861,0.9300349825087456,0.38093983345284677
1860,0.9295352323838081,0.3804249094537181
1859,0.9290354822588706,0.3799134853885161
1858,0.928535732133933,0.37940551201056294
1857,0.9280359820089955,0.3789009411025652
1856,0.927536231884058,0.3783997254481186
1855,0.9270364817591205,0.3779018188041901
1854,0.9265367316341828,0.37740717587454126
1853,0.9260369815092453,0.3769157522840515
1852,0.9255372313843078,0.3764275045539054
1851,0.9250374812593702,0.3759423900776112
1850,0.9245377311344327,0.37546036709781494
1849,0.9240379810094952,0.37498139468388036
1848,0.9235382308845577,0.3745054327102037
1847,0.9230384807596201,0.3740324418352349
1846,0.9225387306346826,0.373562383481178
1845,0.9220389805097451,0.3730952198143436
1844,0.9215392303848076,0.3726309137261302
1843,0.92103948025987,0.3721694288146078
1842,0.9205397301349325,0.3717107293666838
1841,0.920039980009995,0.3712547803408275
1840,0.9195402298850575,0.37080154735033233
1839,0.9190404797601199,0.3703509966470971
1838,0.9185407296351824,0.3699030951059057
1837,0.9180409795102449,0.36945781020918766
1836,0.9175412293853074,0.3690151100322425
1835,0.9170414792603698,0.3685749632289093
1834,0.9165417291354323,0.36813733901766776
1833,0.9160419790104947,0.36770220716815366
1832,0.9155422288855571,0.36726953798807455
1831,0.9150424787606196,0.3668393023105111
1830,0.9145427286356821,0.36641147148159137
1829,0.9140429785107446,0.3659860173485242
1828,0.913543228385807,0.36556291224797954
1827,0.9130434782608695,0.36514212899480314
1826,0.912543728135932,0.3647236408710556
1825,0.9120439780109945,0.36430742161536256
1824,0.9115442278860569,0.36389344541256785
1823,0.9110444777611194,0.36348168688367666
1822,0.9105447276361819,0.3630721210760818
1821,0.9100449775112444,0.36266472345406114
1820,0.9095452273863068,0.36225946988953905
1819,0.9090454772613693,0.36185633665310174
1818,0.9085457271364318,0.36145530040525936
1817,0.9080459770114943,0.3610563381879456
1816,0.9075462268865567,0.360659427416248
1815,0.9070464767616192,0.3602645458703613
1814,0.9065467266366817,0.35987167168775597
1813,0.906046976511744,0.3594807833555562
1812,0.9055472263868065,0.35909185970311985
1811,0.905047476261869,0.3587048798948138
